product_name,url
กล่องใส่อะไหล่พลาสติกพร้อมกล่องใส 4 ชั้น GIANT KINGKONG รุ่น HL30120 สีดำ-เหลือง,https://globalhouse.co.th/product/HUMMER-%E0%B8%81%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD-%E0%B8%A5%E0%B8%B4%E0%B9%89%E0%B8%99%E0%B8%8A%E0%B8%B1%E0%B8%81-4-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-HL30120-i.6022002192037
กิ๊บจับสลิง 1/4นิ้ว GIANT KINGKONG WR-14 ซิงค์ขาว,https://globalhouse.co.th/product/HUMMER-%E0%B8%81%E0%B8%B4%E0%B9%8A%E0%B8%9A%E0%B8%88%E0%B8%B1%E0%B8%9A%E0%B8%A5%E0%B8%A7%E0%B8%94%E0%B8%AA%E0%B8%A5%E0%B8%B4%E0%B8%87-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-WRCM6-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-14-i.2422005400759
กิ๊บจับสลิง 3/8นิ้ว GIANT KINGKONG WR-38 ซิงค์ขาว,https://globalhouse.co.th/product/HUMMER-%E0%B8%81%E0%B8%B4%E0%B9%8A%E0%B8%9A%E0%B8%88%E0%B8%B1%E0%B8%9A%E0%B8%A5%E0%B8%A7%E0%B8%94%E0%B8%AA%E0%B8%A5%E0%B8%B4%E0%B8%87-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-WRCM10-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-38-i.2422005400773
กิ๊บจับสลิง 5/16นิ้ว GIANT KINGKONG WR-516 ซิงค์ขาว,https://globalhouse.co.th/product/HUMMER-%E0%B8%81%E0%B8%B4%E0%B9%8A%E0%B8%9A%E0%B8%88%E0%B8%B1%E0%B8%9A%E0%B8%A5%E0%B8%A7%E0%B8%94%E0%B8%AA%E0%B8%A5%E0%B8%B4%E0%B8%87-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-WRCM8-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-516-i.2422005400766
ข้อต่อนั่งร้าน MAXLIGER JP35 35x220 มม. เงิน,https://globalhouse.co.th/product/%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81-35x225-%E0%B8%A1%E0%B8%A1.-i.6082102000001
"คลิ๊ปเหล็กล็อคสายพลาสติกPP,HD GIANT KINGKONG แพ็ค 1กก.",https://globalhouse.co.th/product/SMITH-%E0%B8%84%E0%B8%A5%E0%B8%B4%E0%B9%8A%E0%B8%9A%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B8%A3%E0%B8%B1%E0%B8%94%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B8%9E%E0%B8%A5%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%B4%E0%B8%81-%E0%B9%81%E0%B8%9E%E0%B9%87%E0%B8%84-1-%E0%B8%81%E0%B8%81.-i.7061804053772
ฐานปรับระดับ MAXLIGER JB40 40 ซม. เงิน,https://globalhouse.co.th/product/%E0%B9%81%E0%B8%88%E0%B9%8A%E0%B8%94%E0%B9%80%E0%B8%9A%E0%B8%94-40cm%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99-i.6082800001006
ฐานปรับระดับ MAXLIGER JB60 60 ซม. เงิน,https://globalhouse.co.th/product/%E0%B9%81%E0%B8%88%E0%B9%8A%E0%B8%94%E0%B9%80%E0%B8%9A%E0%B8%94-60cm%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99-i.6082800001007
ถุงมือผ้าขอบเขียว 5 ขีด GIANT KINGKONG 12 คู่ เทา,https://globalhouse.co.th/product/%E0%B8%96%E0%B8%B8%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%97%E0%B8%AD%E0%B9%83%E0%B8%A2%E0%B8%9D%E0%B9%89%E0%B8%B2%E0%B8%A2%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%97%E0%B8%B2-500-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1%E0%B9%82%E0%B8%AB%E0%B8%A5-1x12%E0%B8%84%E0%B8%B9%E0%B9%88-i.8858847105677
ทริมเมอร์ MAKITA M011-M3700B  530 วัตต์ เขียว-ดำ,https://globalhouse.co.th/product/MAKITA-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%97%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%AD%E0%B8%A3%E0%B9%8C-14-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-530W-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-M3700B-i.088381815741
นั่งร้านเหล็กหนา 1.5 มม. MAXLIGER SF1700G 1700x1219x1829 มม. เขียว,https://globalhouse.co.th/product/%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B8%84%E0%B8%A3%E0%B8%9A%E0%B8%8A%E0%B8%B8%E0%B8%94--%E0%B8%AB%E0%B8%99%E0%B8%B21.70%E0%B8%A1%E0%B8%A1.%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-1700x1219x1829-%E0%B8%A1%E0%B8%A1.%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7-i.6082800001017
